ym,region,country,visitors,visitors_yoy,visitors_vs_2019,prefecture,region_block,foreign_guest_nights,guest_nights_yoy,guest_nights_vs_2019,updated_at
2019-12,欧州,ドイツ,13639,,0.0,,,,,,2026-06-09 00:08:19
2019-01,欧州,イタリア,6033,,0.0,,,,,,2026-06-09 00:08:19
2019-02,欧州,イタリア,5897,,0.0,,,,,,2026-06-09 00:08:19
2019-03,欧州,イタリア,14956,,0.0,,,,,,2026-06-09 00:08:19
2019-04,欧州,イタリア,24062,,0.0,,,,,,2026-06-09 00:08:19
2019-05,欧州,イタリア,12463,,0.0,,,,,,2026-06-09 00:08:19
2019-06,欧州,イタリア,11357,,0.0,,,,,,2026-06-09 00:08:19
2019-07,欧州,イタリア,13566,,0.0,,,,,,2026-06-09 00:08:19
2019-08,欧州,イタリア,22804,,0.0,,,,,,2026-06-09 00:08:19
2019-09,欧州,イタリア,13354,,0.0,,,,,,2026-06-09 00:08:19
2019-10,欧州,イタリア,14731,,0.0,,,,,,2026-06-09 00:08:19
2019-11,欧州,イタリア,12350,,0.0,,,,,,2026-06-09 00:08:19
2019-12,欧州,イタリア,11196,,0.0,,,,,,2026-06-09 00:08:19
2019-01,欧州,ロシア,6316,,0.0,,,,,,2026-06-09 00:08:19
2019-02,欧州,ロシア,5601,,0.0,,,,,,2026-06-09 00:08:19
2019-03,欧州,ロシア,11701,,0.0,,,,,,2026-06-09 00:08:19
2019-04,欧州,ロシア,13787,,0.0,,,,,,2026-06-09 00:08:19
2019-05,欧州,ロシア,9691,,0.0,,,,,,2026-06-09 00:08:19
2019-06,欧州,ロシア,8844,,0.0,,,,,,2026-06-09 00:08:19
2019-07,欧州,ロシア,9005,,0.0,,,,,,2026-06-09 00:08:19
2019-08,欧州,ロシア,8321,,0.0,,,,,,2026-06-09 00:08:19
2019-09,欧州,ロシア,10454,,0.0,,,,,,2026-06-09 00:08:19
2019-10,欧州,ロシア,14348,,0.0,,,,,,2026-06-09 00:08:19
2019-11,欧州,ロシア,13142,,0.0,,,,,,2026-06-09 00:08:19
2019-12,欧州,ロシア,8833,,0.0,,,,,,2026-06-09 00:08:19
2019-01,欧州,スペイン,4382,,0.0,,,,,,2026-06-09 00:08:19
2019-02,欧州,スペイン,4533,,0.0,,,,,,2026-06-09 00:08:19
2019-03,欧州,スペイン,8916,,0.0,,,,,,2026-06-09 00:08:19
2019-04,欧州,スペイン,13858,,0.0,,,,,,2026-06-09 00:08:19
2019-05,欧州,スペイン,9971,,0.0,,,,,,2026-06-09 00:08:19
2019-06,欧州,スペイン,9762,,0.0,,,,,,2026-06-09 00:08:19
2019-07,欧州,スペイン,15771,,0.0,,,,,,2026-06-09 00:08:19
2019-08,欧州,スペイン,20009,,0.0,,,,,,2026-06-09 00:08:19
2019-09,欧州,スペイン,11472,,0.0,,,,,,2026-06-09 00:08:19
2019-10,欧州,スペイン,13739,,0.0,,,,,,2026-06-09 00:08:19
2019-11,欧州,スペイン,10535,,0.0,,,,,,2026-06-09 00:08:19
2019-12,欧州,スペイン,7295,,0.0,,,,,,2026-06-09 00:08:19
2019-01,欧州,スウェーデン,3509,,0.0,,,,,,2026-06-09 00:08:19
2019-02,欧州,スウェーデン,3228,,0.0,,,,,,2026-06-09 00:08:19
2019-03,欧州,スウェーデン,5461,,0.0,,,,,,2026-06-09 00:08:19
2019-04,欧州,スウェーデン,6702,,0.0,,,,,,2026-06-09 00:08:19
2019-05,欧州,スウェーデン,4171,,0.0,,,,,,2026-06-09 00:08:19
2019-06,欧州,スウェーデン,5321,,0.0,,,,,,2026-06-09 00:08:19
2019-07,欧州,スウェーデン,4364,,0.0,,,,,,2026-06-09 00:08:19
2019-08,欧州,スウェーデン,2669,,0.0,,,,,,2026-06-09 00:08:19
2019-09,欧州,スウェーデン,3664,,0.0,,,,,,2026-06-09 00:08:19
2019-10,欧州,スウェーデン,5909,,0.0,,,,,,2026-06-09 00:08:19
2019-11,欧州,スウェーデン,4843,,0.0,,,,,,2026-06-09 00:08:19
2019-12,欧州,スウェーデン,3995,,0.0,,,,,,2026-06-09 00:08:19
2019-01,欧州,オランダ,3321,,0.0,,,,,,2026-06-09 00:08:19
2019-02,欧州,オランダ,4139,,0.0,,,,,,2026-06-09 00:08:19
2019-03,欧州,オランダ,7071,,0.0,,,,,,2026-06-09 00:08:19
2019-04,欧州,オランダ,9476,,0.0,,,,,,2026-06-09 00:08:19
2019-05,欧州,オランダ,7502,,0.0,,,,,,2026-06-09 00:08:19
2019-06,欧州,オランダ,4930,,0.0,,,,,,2026-06-09 00:08:19
2019-07,欧州,オランダ,10459,,0.0,,,,,,2026-06-09 00:08:19
2019-08,欧州,オランダ,6059,,0.0,,,,,,2026-06-09 00:08:19
2019-09,欧州,オランダ,6862,,0.0,,,,,,2026-06-09 00:08:19
2019-10,欧州,オランダ,9113,,0.0,,,,,,2026-06-09 00:08:19
2019-11,欧州,オランダ,6080,,0.0,,,,,,2026-06-09 00:08:19
2019-12,欧州,オランダ,4467,,0.0,,,,,,2026-06-09 00:08:19
2019-01,欧州,スイス,2399,,0.0,,,,,,2026-06-09 00:08:19
2019-02,欧州,スイス,2568,,0.0,,,,,,2026-06-09 00:08:19
2019-03,欧州,スイス,5066,,0.0,,,,,,2026-06-09 00:08:19
2019-04,欧州,スイス,7983,,0.0,,,,,,2026-06-09 00:08:19
2019-05,欧州,スイス,4608,,0.0,,,,,,2026-06-09 00:08:19
